home_team,away_team,home_team_odds,draw_odds,away_team_odds,favourite_team,favourite_odds,outsider_team,outsider_odds,favourites_payout,outsiders_payout,result
Italy,Norway,1.75,3,4.7,Italy,1.75,Norway,4.7,11.3792,25111.16,favourite
Brazil,Chile,1.28,4.59,9.5,Brazil,1.28,Chile,9.5,11.3792,25111.16,favourite
Nigeria,Denmark,2,2.9,3.7,Nigeria,2,Denmark,3.7,11.3792,25111.16,outsider
France,Paraguay,1.27,4.8,9.5,France,1.27,Paraguay,9.5,11.3792,25111.16,draw
Netherlands,Serbia and Montenegro,1,3,2,Netherlands,1,Serbia and Montenegro,2,11.3792,25111.16,favourite
Germany,Mexico,1,3,2,Germany,1,Mexico,2,11.3792,25111.16,favourite
Romania,Croatia,2,3,2,Croatia,2,Croatia,2,11.3792,25111.16,outsider
Argentina,England,1,3,2,Argentina,1,England,2,11.3792,25111.16,draw
Germany,Brazil,4.22,3.12,2.06,Brazil,2.06,Germany,4.22,423.5454718,57692.92294,favourite
South Korea,Turkey,2.72,2.94,2.85,South Korea,2.72,Turkey,2.85,423.5454718,57692.92294,outsider
Brazil,Turkey,1.55,3.81,5.99,Brazil,1.55,Turkey,5.99,423.5454718,57692.92294,favourite
Germany,South Korea,2.23,2.97,3.72,Germany,2.23,South Korea,3.72,423.5454718,57692.92294,favourite
Senegal,Turkey,2.58,2.96,2.91,Senegal,2.58,Turkey,2.91,423.5454718,57692.92294,draw
Spain,South Korea,2.14,3.06,3.83,Spain,2.14,South Korea,3.83,423.5454718,57692.92294,draw
England,Brazil,3.23,3.01,2.43,Brazil,2.43,England,3.23,423.5454718,57692.92294,favourite
Germany,USA,1.63,3.53,5.98,Germany,1.63,USA,5.98,423.5454718,57692.92294,favourite
Germany,Sweden,1.6,3.65,5.89,Germany,1.6,Sweden,5.89,85.7786065,1008218.803,favourite
Argentina,Mexico,1.36,4.27,10.18,Argentina,1.36,Mexico,10.18,85.7786065,1008218.803,draw
England,Ecuador,1.49,3.86,7.37,England,1.49,Ecuador,7.37,85.7786065,1008218.803,favourite
Portugal,Netherlands,3.12,3.07,2.44,Netherlands,2.44,Portugal,3.12,85.7786065,1008218.803,outsider
Italy,Australia,1.52,3.82,6.95,Italy,1.52,Australia,6.95,85.7786065,1008218.803,favourite
Switzerland,Ukraine,2.37,3.11,3.17,Switzerland,2.37,Ukraine,3.17,85.7786065,1008218.803,draw
Brazil,Ghana,1.27,5.41,10.34,Brazil,1.27,Ghana,10.34,85.7786065,1008218.803,favourite
Spain,France,2.37,3.01,3.21,Spain,2.37,France,3.21,85.7786065,1008218.803,outsider
Uruguay,South Korea,1.84,3.33,4.9,Uruguay,1.84,South Korea,4.9,172.5619955,295902.2306,favourite
USA,Ghana,2.41,3.1,3.22,USA,2.41,Ghana,3.22,172.5619955,295902.2306,draw
Germany,England,2.96,3.06,2.6,England,2.6,Germany,2.96,172.5619955,295902.2306,outsider
Argentina,Mexico,1.61,3.73,6.24,Argentina,1.61,Mexico,6.24,172.5619955,295902.2306,favourite
Netherlands,Slovakia,1.39,4.5,9.63,Netherlands,1.39,Slovakia,9.63,172.5619955,295902.2306,favourite
Brazil,Chile,1.52,3.82,6.99,Brazil,1.52,Chile,6.99,172.5619955,295902.2306,favourite
Paraguay,Japan,2.2,3.17,3.6,Paraguay,2.2,Japan,3.6,172.5619955,295902.2306,draw
Spain,Portugal,2,3.23,4.19,Spain,2,Portugal,4.19,172.5619955,295902.2306,favourite
Brazil,Chile,1.53,4.52,6.31,Brazil,1.53,Chile,6.31,111.0360476,625570.7624,draw
Colombia,Uruguay,2.13,3.37,3.73,Colombia,2.13,Uruguay,3.73,111.0360476,625570.7624,favourite
Netherlands,Mexico,2.13,3.38,3.74,Netherlands,2.13,Mexico,3.74,111.0360476,625570.7624,favourite
Costa Rica,Greece,2.71,3.08,2.94,Costa Rica,2.71,Greece,2.94,111.0360476,625570.7624,draw
France,Nigeria,1.41,4.66,8.81,France,1.41,Nigeria,8.81,111.0360476,625570.7624,favourite
Germany,Algeria,1.32,5.66,10.41,Germany,1.32,Algeria,10.41,111.0360476,625570.7624,draw
Argentina,Switzerland,1.57,4.16,6.46,Argentina,1.57,Switzerland,6.46,111.0360476,625570.7624,draw
Belgium,USA,2.02,3.41,4.08,Belgium,2.02,USA,4.08,111.0360476,625570.7624,draw